Date,Time ,Humidity,Voltage
15/02,Morning,NAN,0
,,,0
,,,0
,,,0
,,,0
,Night,WET +,4.19
,,,4.32
,,,4.37
,,,4.17
,,,4.33
16/02,Morning,WET,2.22
,,,2.39
,,,2.55
,,,2.76
,,,3.13
,Night,DRY,1.33
,,,1.53
,,,1.76
,,,1.56
,,,1.36
17/02,Morning,DRY +,0.12
,,,0.12
,,,0.12
,,,0.19
,,,0.24
,Night,,0.05
,,,0.04
,,,0.01
,,,0.04
,,,0.03
18/02,Morning,DRY +,0.02
,,,0.03
,,,0.06
,,,0.01
,,,0.03
,Night,DRY +,0.05
,,,0.04
,,,0.02
,,,0.01
,,,0.02
19/02,Morning,WET,1
,,,0.66
,,,0.67
,,,0.66
,,,0.93
,Night,NOR,1.49
,,,1.44
,,,0.82
,,,0.68
,,,0.84
20/02,Morning,DRY,0.67
,,,0.65
,,,0.42
,,,0.58
,,,0.88
,Night,DRY +,0.05
,,,0.03
,,,0.08
,,,0.1
,,,0.09
21/02,Morning,DRY +,0.03
,,,0.02
,,,0.02
,,,0.05
,,,0.03
,Night,DRY +,0.02
,,,0
,,,0
,,,0
,,,0
22/02,Morning,WET +,0.26
,,,0.35
,,,0.44
,,,0.46
,,,0.47
